realtime,Close,High,Low,Open,Volume
2009-01-02,13.37,13.43,13.3,0.0,1043400
2009-01-05,13.16,13.32,13.15,0.0,1294700
2009-01-06,13.04,13.2,13.02,0.0,1236000
2009-01-07,13.22,13.25,13.06,0.0,1109000
2009-01-09,13.17,13.2,13.06,0.0,723900
2009-01-12,13.09,13.2,13.09,0.0,957000
2009-01-13,12.97,13.0,12.85,0.0,1429800
2009-01-14,13.02,13.08,12.86,0.0,706200
2009-01-15,12.86,12.99,12.81,0.0,768300
2009-01-16,13.0,13.0,12.85,0.0,525700
2009-01-19,13.1,13.15,12.99,0.0,525000
2009-01-20,13.07,13.15,13.0,0.0,429500
2009-01-21,13.45,13.5,13.13,0.0,1700600
2009-01-22,13.36,13.37,13.27,0.0,737700
2009-01-23,13.5,13.62,13.35,0.0,1703300
2009-01-27,13.69,13.91,13.67,0.0,2741100
2009-01-28,13.5,13.89,13.47,0.0,4712700
2009-01-29,13.46,13.57,13.38,0.0,3909100
2009-01-30,14.0,14.07,13.6,0.0,3912900
2009-02-02,14.01,14.1,13.85,0.0,4134800
2009-02-03,13.87,13.98,13.81,0.0,2363600
2009-02-04,13.82,13.91,13.5,0.0,1526800
2009-02-05,13.94,13.99,13.81,0.0,1556300
2009-02-06,13.94,14.04,13.92,0.0,2016500
2009-02-09,13.88,14.05,13.82,0.0,2642100
2009-02-10,13.87,13.88,13.8,0.0,1541000
2009-02-11,14.14,14.18,13.95,0.0,2770700
2009-02-12,14.48,14.5,14.25,0.0,3107500
2009-02-13,14.4,14.5,14.38,0.0,1966200
2009-02-16,14.54,14.55,14.35,0.0,2423500
2009-02-17,15.04,15.05,14.62,0.0,5305600
2009-02-18,15.44,15.63,15.2,0.0,8228600
2009-02-19,15.37,15.74,15.35,0.0,5501800
2009-02-20,15.45,15.5,15.19,0.0,4921900
2009-02-24,15.44,15.74,15.41,0.0,6745900
2009-02-25,14.98,15.39,14.94,0.0,5285200
2009-02-26,14.9,15.19,14.81,0.0,4470500
2009-02-27,15.08,15.12,14.6,0.0,2425900
2009-03-02,15.43,15.49,15.2,0.0,4119200
2009-03-03,15.1,15.2,14.93,0.0,4341600
2009-03-04,14.91,15.0,14.62,0.0,3152700
2009-03-05,14.9,14.95,14.55,0.0,2116100
2009-03-06,15.27,15.3,15.11,0.0,2769400
2009-03-09,15.26,15.3,15.19,0.0,3160200
2009-03-12,14.93,15.0,14.85,0.0,1944200
2009-03-13,15.0,15.13,15.0,0.0,1738400
2009-03-16,15.02,15.09,15.02,0.0,1564600
2009-03-17,14.94,15.0,14.85,0.0,2303300
2009-03-18,14.89,14.9,14.72,0.0,2453600
2009-03-19,14.9,15.1,14.9,0.0,1448300
2009-03-20,15.3,15.3,15.05,0.0,2355000
2009-03-23,15.32,15.34,15.12,0.0,3777600
2009-03-24,15.15,15.15,14.93,0.0,2870800
